txn_id,date,account,vendor,amount,description
TXN-1001,2026-01-03,Travel Expense,Orbit Cabs,245.80,local travel reimbursement
TXN-1002,2026-01-03,Software Subscription,CloudSuite,1899.00,monthly saas renewal
TXN-1003,2026-01-04,Office Supplies,PaperTown,322.11,stationery procurement
TXN-1004,2026-01-05,Consulting Expense,Delta Advisory,12650.00,manual adjustment for advisory fees
TXN-1005,2026-01-06,Utilities,City Power,875.32,electricity payment
TXN-1006,2026-01-07,Marketing Expense,AdSpark,4500.00,campaign design invoice
TXN-1007,2026-01-07,IT Hardware,ComputeHub,28340.00,urgent server replacement
TXN-1008,2026-01-08,Payroll Clearing,Internal,98000.00,monthly payroll transfer
TXN-1009,2026-01-08,Misc Expense,Unknown Vendor,15420.00,manual override adjustment
TXN-1010,2026-01-09,Travel Expense,Metro Rail,120.50,commute card top-up
